asset_type,asset_id,asset_name,status,http_status,output_path,error,elapsed_seconds
player,750,Cristiano Ronaldo,cached,,data/assets/player_images/750.png,,0.006
player,8959,Manuel Neuer,cached,,data/assets/player_images/8959.png,,0.0
player,9370,Craig Gordon,downloaded,200.0,data/assets/player_images/9370.png,,0.742
player,12994,Lionel Messi,cached,,data/assets/player_images/12994.png,,0.002
player,14990,Edin Džeko,downloaded,200.0,data/assets/player_images/14990.png,,0.735
player,15466,Luka Modrić,cached,,data/assets/player_images/15466.png,,0.0
player,15497,Guillermo Ochoa,downloaded,200.0,data/assets/player_images/15497.png,,0.719
player,21927,Marko Arnautović,downloaded,200.0,data/assets/player_images/21927.png,,0.735
player,22209,Ørjan Nyland,cached,,data/assets/player_images/22209.png,,0.0
player,22596,Kristoffer Nordfeldt,cached,,data/assets/player_images/22596.png,,0.001
player,28381,Fernando Muslera,cached,,data/assets/player_images/28381.png,,0.001
player,31857,Kosta Barbarouses,downloaded,200.0,data/assets/player_images/31857.png,,0.711
player,33596,David Ospina,downloaded,200.0,data/assets/player_images/33596.png,,1.252
player,34639,Yuto Nagatomo,downloaded,200.0,data/assets/player_images/34639.png,,1.292
player,35612,Axel Witsel,downloaded,200.0,data/assets/player_images/35612.png,,1.297
player,37224,Johny Placide,cached,,data/assets/player_images/37224.png,,0.0
player,37318,Ante Budimir,downloaded,200.0,data/assets/player_images/37318.png,,1.302
player,38111,Tommy Smith,downloaded,200.0,data/assets/player_images/38111.png,,1.429
player,38624,Michael Boxall,cached,,data/assets/player_images/38624.png,,0.001
player,38710,Ivan Perišić,cached,,data/assets/player_images/38710.png,,0.0
player,39573,Mert Günok,downloaded,200.0,data/assets/player_images/39573.png,,1.693
player,40244,Oliver Baumann,downloaded,200.0,data/assets/player_images/40244.png,,1.835
player,40859,Eloy Room,cached,,data/assets/player_images/40859.png,,0.001
player,42694,Jordan Henderson,downloaded,200.0,data/assets/player_images/42694.png,,1.839
player,46387,Gaël Kakuta,downloaded,200.0,data/assets/player_images/46387.png,,1.845
player,48480,Pascal Groß,downloaded,200.0,data/assets/player_images/48480.png,,2.066
player,50480,Chris Wood,cached,,data/assets/player_images/50480.png,,0.0
player,52797,Ryan Mendes,cached,,data/assets/player_images/52797.png,,0.0
player,59609,Stopira,downloaded,200.0,data/assets/player_images/59609.png,,2.163
player,66492,David Alaba,cached,,data/assets/player_images/66492.png,,0.0
player,67647,Andrej Kramarić,downloaded,200.0,data/assets/player_images/67647.png,,2.346
player,67769,Ricardo Rodríguez,cached,,data/assets/player_images/67769.png,,0.0
player,70988,Thibaut Courtois,cached,,data/assets/player_images/70988.png,,0.0
player,70996,Kevin De Bruyne,cached,,data/assets/player_images/70996.png,,0.0
player,74545,Leandro Bacuna,cached,,data/assets/player_images/74545.png,,0.0
player,74915,Nicolás Otamendi,downloaded,200.0,data/assets/player_images/74915.png,,2.358
player,75756,Kenny McLean,downloaded,200.0,data/assets/player_images/75756.png,,2.365
player,78893,Romelu Lukaku,cached,,data/assets/player_images/78893.png,,0.0
player,83951,Alberto Quintero,downloaded,200.0,data/assets/player_images/83951.png,,2.584
player,84854,Alex Sandro,downloaded,200.0,data/assets/player_images/84854.png,,2.64
player,93953,Hassan Al Haydos,downloaded,200.0,data/assets/player_images/93953.png,,2.872
player,95791,Grant Hanley,cached,,data/assets/player_images/95791.png,,0.0
player,96538,Lucas Digne,cached,,data/assets/player_images/96538.png,,0.001
player,97409,Jürgen Locadia,cached,,data/assets/player_images/97409.png,,0.001
player,99090,Dan Burn,downloaded,200.0,data/assets/player_images/99090.png,,2.964
player,100389,Marten de Roon,downloaded,200.0,data/assets/player_images/100389.png,,2.969
player,103045,Jordan Ayew,cached,,data/assets/player_images/103045.png,,0.0
player,106337,Idrissa Gana Gueye,cached,,data/assets/player_images/106337.png,,0.001
player,106456,Enner Valencia,cached,,data/assets/player_images/106456.png,,0.0
player,107414,James Rodríguez,cached,,data/assets/player_images/107414.png,,0.001
player,108579,Harry Kane,cached,,data/assets/player_images/108579.png,,0.001
player,109002,Vladimír Darida,downloaded,200.0,data/assets/player_images/109002.png,,3.124
player,111483,Michael Gregoritsch,cached,,data/assets/player_images/111483.png,,0.0
player,111505,Son Heung-min,downloaded,200.0,data/assets/player_images/111505.png,,3.142
player,115516,Remo Freuler,cached,,data/assets/player_images/115516.png,,0.0
player,115665,Cédric Bakambu,cached,,data/assets/player_images/115665.png,,0.001
player,117777,Granit Xhaka,cached,,data/assets/player_images/117777.png,,0.0
player,118085,Hans Vanaken,cached,,data/assets/player_images/118085.png,,0.0
player,118179,Tim Ream,cached,,data/assets/player_images/118179.png,,0.0
player,118204,Jaroslav Zelený,downloaded,200.0,data/assets/player_images/118204.png,,3.371
player,122570,Mathew Leckie,downloaded,200.0,data/assets/player_images/122570.png,,3.589
player,122810,Aïssa Mandi,cached,,data/assets/player_images/122810.png,,0.0
player,122951,Casemiro,cached,,data/assets/player_images/122951.png,,0.0
player,124712,Neymar,downloaded,200.0,data/assets/player_images/124712.png,,3.65
player,124992,Danilo,cached,,data/assets/player_images/124992.png,,0.0
player,125787,Camilo Vargas,cached,,data/assets/player_images/125787.png,,0.0
player,126071,Kalidou Koulibaly,downloaded,200.0,data/assets/player_images/126071.png,,3.797
