scoring_country,0-10,11-20,21-30,31-40,41-45+,46-56,57-67,68-78,79-90+,91-105+,106-120+,Toplam
Argentina,1,2,1,2,0,0,1,1,5,1,2,16
France,1,2,0,1,1,2,4,2,3,0,0,16
Belgium,1,0,1,1,1,1,2,0,5,0,1,13
England,0,1,0,2,2,1,3,1,2,1,0,13
Norway,0,0,2,2,2,1,1,1,3,0,0,12
Germany,2,0,0,1,1,2,0,3,2,0,0,11
Morocco,2,0,1,1,1,1,0,1,4,0,0,11
Switzerland,1,1,0,0,0,2,2,1,4,0,0,11
Brazil,1,0,1,2,2,1,1,0,2,0,0,10
Egypt,1,3,0,0,0,1,4,0,1,0,0,10
Mexico,1,0,1,1,1,2,2,1,1,0,0,10
Netherlands,2,1,0,0,0,3,2,1,1,0,0,10
Senegal,1,0,1,0,0,3,1,1,3,0,0,10
Spain,1,0,3,1,1,0,1,0,3,0,0,10
USA,1,0,0,2,3,1,0,0,2,0,0,9
Canada,0,1,1,0,1,0,1,2,2,0,0,8
Japan,1,0,1,1,0,1,1,1,2,0,0,8
Portugal,2,1,0,1,0,0,0,1,2,0,0,7
Sweden,1,0,1,0,0,0,3,0,2,0,0,7
Croatia,0,0,0,2,1,2,0,0,1,0,0,6
Algeria,0,0,0,0,1,0,1,1,2,0,0,5
Austria,0,0,2,0,0,1,0,0,2,0,0,5
Cabo Verde,0,0,1,0,0,0,2,0,0,1,1,5
Colombia,0,1,0,1,0,0,1,1,1,0,0,5
Côte d'Ivoire,1,0,1,0,0,0,1,1,1,0,0,5
DR Congo,1,0,0,0,1,0,0,2,1,0,0,5
Bosnia & Herzegovina,0,0,2,0,0,0,0,0,2,0,0,4
Jordan,0,0,0,1,0,2,0,1,0,0,0,4
New Zealand,1,1,0,0,0,1,0,0,1,0,0,4
Paraguay,2,0,0,0,1,0,0,1,0,0,0,4
Australia,0,1,1,0,0,0,0,1,0,0,0,3
Iran,0,1,0,1,0,0,1,0,0,0,0,3
Qatar,0,0,0,1,1,0,0,1,0,0,0,3
Tunisia,1,0,0,0,1,1,0,0,0,0,0,3
Türkiye,1,0,0,1,0,0,0,0,1,0,0,3
Uruguay,0,0,0,0,2,0,0,0,1,0,0,3
Uzbekistan,1,0,0,0,0,0,2,0,0,0,0,3
Czechia,1,0,0,0,0,0,1,0,0,0,0,2
Ecuador,1,0,0,0,0,0,0,1,0,0,0,2
Ghana,0,0,0,0,0,0,0,1,1,0,0,2
Iraq,0,0,0,1,0,0,0,0,1,0,0,2
Saudi Arabia,0,0,0,0,1,1,0,0,0,0,0,2
South Africa,0,0,0,0,0,0,1,0,1,0,0,2
South Korea,0,0,0,0,0,0,1,0,1,0,0,2
Curaçao,0,0,1,0,0,0,0,0,0,0,0,1
Haiti,0,0,0,0,1,0,0,0,0,0,0,1
Scotland,0,0,1,0,0,0,0,0,0,0,0,1
