event_id,match,home_team,away_team,score,status,round,round_name,date_utc,scoring_country,scorer,player_country,assist,minute,added_time,minute_display,minute_abs,own_goal,penalty,source_url
15186710,Mexico - South Africa,Mexico,South Africa,2-0,finished,1,,2026-06-11,Mexico,Raúl Jiménez,Mexico,Roberto Alvarado,67,,67,67,False,False,https://www.sofascore.com/event/15186710
15186710,Mexico - South Africa,Mexico,South Africa,2-0,finished,1,,2026-06-11,Mexico,Julián Quiñones,Mexico,Erik Lira,9,,9,9,False,False,https://www.sofascore.com/event/15186710
15186720,South Korea - Czechia,South Korea,Czechia,2-1,finished,1,,2026-06-12,South Korea,Hyeon-gyu Oh,South Korea,Hwang In-beom,80,,80,80,False,False,https://www.sofascore.com/event/15186720
15186720,South Korea - Czechia,South Korea,Czechia,2-1,finished,1,,2026-06-12,South Korea,Hwang In-beom,South Korea,Kang-in Lee,67,,67,67,False,False,https://www.sofascore.com/event/15186720
15186720,South Korea - Czechia,South Korea,Czechia,2-1,finished,1,,2026-06-12,Czechia,Ladislav Krejčí,Czechia,Vladimír Coufal,59,,59,59,False,False,https://www.sofascore.com/event/15186720
15186836,Canada - Bosnia & Herzegovina,Canada,Bosnia & Herzegovina,1-1,finished,1,,2026-06-12,Canada,Cyle Larin,Canada,Promise David,78,,78,78,False,False,https://www.sofascore.com/event/15186836
15186836,Canada - Bosnia & Herzegovina,Canada,Bosnia & Herzegovina,1-1,finished,1,,2026-06-12,Bosnia & Herzegovina,Jovo Lukić,Bosnia & Herzegovina,Sead Kolašinac,21,,21,21,False,False,https://www.sofascore.com/event/15186836
15186873,USA - Paraguay,USA,Paraguay,4-1,finished,1,,2026-06-13,USA,Giovanni Reyna,USA,Alexander Freeman,90,8.0,90+8,98,False,False,https://www.sofascore.com/event/15186873
15186873,USA - Paraguay,USA,Paraguay,4-1,finished,1,,2026-06-13,Paraguay,Mauricio,Paraguay,Julio Enciso,73,,73,73,False,False,https://www.sofascore.com/event/15186873
15186873,USA - Paraguay,USA,Paraguay,4-1,finished,1,,2026-06-13,USA,Folarin Balogun,USA,Malik Tillman,45,5.0,45+5,50,False,False,https://www.sofascore.com/event/15186873
15186873,USA - Paraguay,USA,Paraguay,4-1,finished,1,,2026-06-13,USA,Folarin Balogun,USA,Christian Pulišić,31,,31,31,False,False,https://www.sofascore.com/event/15186873
15186873,USA - Paraguay,USA,Paraguay,4-1,finished,1,,2026-06-13,Paraguay,Damián Bobadilla,USA,,7,,7,7,True,False,https://www.sofascore.com/event/15186873
15186526,Qatar - Switzerland,Qatar,Switzerland,1-1,finished,1,,2026-06-13,Switzerland,Miro Muheim,Qatar,,90,4.0,90+4,94,True,False,https://www.sofascore.com/event/15186526
15186526,Qatar - Switzerland,Qatar,Switzerland,1-1,finished,1,,2026-06-13,Switzerland,Breel Embolo,Switzerland,,17,,17,17,False,True,https://www.sofascore.com/event/15186526
15186850,Brazil - Morocco,Brazil,Morocco,1-1,finished,1,,2026-06-13,Brazil,Vinícius Júnior,Brazil,Bruno Guimarães,32,,32,32,False,False,https://www.sofascore.com/event/15186850
15186850,Brazil - Morocco,Brazil,Morocco,1-1,finished,1,,2026-06-13,Morocco,Ismael Saibari,Morocco,Brahim Díaz,21,,21,21,False,False,https://www.sofascore.com/event/15186850
15186853,Haiti - Scotland,Haiti,Scotland,0-1,finished,1,,2026-06-14,Scotland,John McGinn,Scotland,,28,,28,28,False,False,https://www.sofascore.com/event/15186853
15186874,Australia - Türkiye,Australia,Türkiye,2-0,finished,1,,2026-06-14,Australia,Connor Metcalfe,Australia,,75,,75,75,False,False,https://www.sofascore.com/event/15186874
15186874,Australia - Türkiye,Australia,Türkiye,2-0,finished,1,,2026-06-14,Australia,Nestory Irankunda,Australia,Paul Okon-Engstler,27,,27,27,False,False,https://www.sofascore.com/event/15186874
15186899,Germany - Curaçao,Germany,Curaçao,7-1,finished,1,,2026-06-14,Germany,Kai Havertz,Germany,Deniz Undav,88,,88,88,False,False,https://www.sofascore.com/event/15186899
15186899,Germany - Curaçao,Germany,Curaçao,7-1,finished,1,,2026-06-14,Germany,Deniz Undav,Germany,Joshua Kimmich,78,,78,78,False,False,https://www.sofascore.com/event/15186899
15186899,Germany - Curaçao,Germany,Curaçao,7-1,finished,1,,2026-06-14,Germany,Nathaniel Brown,Germany,Deniz Undav,68,,68,68,False,False,https://www.sofascore.com/event/15186899
15186899,Germany - Curaçao,Germany,Curaçao,7-1,finished,1,,2026-06-14,Germany,Jamal Musiala,Germany,Joshua Kimmich,47,,47,47,False,False,https://www.sofascore.com/event/15186899
