player_id,player_name,team_name,matches_with_heatmap,heatmap_point_count,grid_x,grid_y,npz_key
827606,Rodri,Spain,6,770,21,14,827606
814594,Achraf Hakimi,Morocco,6,672,21,14,814594
1402913,Pau Cubarsí,Spain,6,650,21,14,1402913
117777,Granit Xhaka,Switzerland,6,628,21,14,117777
383560,Manuel Akanji,Switzerland,6,616,21,14,383560
149734,Aymeric Laporte,Spain,6,609,21,14,149734
1128530,Neil El Aynaoui,Morocco,6,609,21,14,1128530
994546,Elliot Anderson,England,6,588,21,14,994546
282229,Nico Elvedi,Switzerland,6,583,21,14,282229
248331,Brandon Mechele,Belgium,6,548,21,14,248331
992587,Pedri,Spain,6,537,21,14,992587
798583,Dayot Upamecano,France,6,534,21,14,798583
895324,Alexis Mac Allister,Argentina,6,520,21,14,895324
978838,Michael Olise,France,6,509,21,14,978838
877994,Marc Guéhi,England,6,504,21,14,877994
12994,Lionel Messi,Argentina,6,485,21,14,12994
115516,Remo Freuler,Switzerland,6,469,21,14,115516
827212,Jules Koundé,France,6,450,21,14,827212
794939,Marc Cucurella,Spain,6,441,21,14,794939
67769,Ricardo Rodríguez,Switzerland,6,437,21,14,67769
991421,Azzedine Ounahi,Morocco,6,428,21,14,991421
847030,Noussair Mazraoui,Morocco,6,421,21,14,847030
329417,Timothy Castagne,Belgium,6,395,21,14,329417
1402912,Lamine Yamal,Spain,6,388,21,14,1402912
997152,Maxim De Cuyper,Belgium,6,379,21,14,997152
991011,Jude Bellingham,England,6,378,21,14,991011
1126569,Bilal El Khannouss,Morocco,6,376,21,14,1126569
135666,Leandro Trossard,Belgium,6,363,21,14,135666
818244,Ousmane Dembélé,France,6,359,21,14,818244
556866,Gregor Kobel,Switzerland,6,350,21,14,556866
1142703,Nico O'Reilly,England,6,344,21,14,1142703
889378,Nicolas Raskin,Belgium,6,340,21,14,889378
138530,Jordan Pickford,England,6,326,21,14,138530
797291,Unai Simón,Spain,6,326,21,14,797291
826643,Kylian Mbappé,France,6,321,21,14,826643
1154605,Désiré Doué,France,6,302,21,14,1154605
360938,Yassine Bounou,Morocco,6,295,21,14,360938
835485,Brahim Díaz,Morocco,6,294,21,14,835485
70988,Thibaut Courtois,Belgium,6,286,21,14,70988
355174,Patrick Berg,Norway,6,278,21,14,355174
789071,Dani Olmo,Spain,6,268,21,14,789071
944327,Dan Ndoye,Switzerland,6,267,21,14,944327
228364,Fredrik Aursnes,Norway,6,264,21,14,228364
944656,Julián Alvarez,Argentina,6,249,21,14,944656
118085,Hans Vanaken,Belgium,6,246,21,14,118085
158263,Emiliano Martínez,Argentina,6,237,21,14,158263
191210,Mike Maignan,France,6,237,21,14,191210
823622,Mikel Oyarzabal,Spain,6,229,21,14,823622
945798,Djed Spence,England,6,223,21,14,945798
784655,Fabián Ruiz,Spain,6,220,21,14,784655
108579,Harry Kane,England,6,213,21,14,108579
352296,Breel Embolo,Switzerland,6,201,21,14,352296
1100952,Andreas Schjelderup,Norway,6,200,21,14,1100952
1121923,Antonio Nusa,Norway,6,198,21,14,1121923
996952,Bradley Barcola,France,6,192,21,14,996952
872919,Rubén Vargas,Switzerland,6,190,21,14,872919
934235,Bukayo Saka,England,6,187,21,14,934235
1065216,Oscar Bobb,Norway,6,187,21,14,1065216
823984,Lautaro Martínez,Argentina,6,165,21,14,823984
855833,Ferran Torres,Spain,6,151,21,14,855833
592010,Mikel Merino,Spain,6,123,21,14,592010
953995,Soufiane Rahimi,Morocco,6,111,21,14,953995
78893,Romelu Lukaku,Belgium,6,89,21,14,78893
793167,Sander Berge,Norway,5,541,21,14,793167
869792,Gabriel Magalhães,Brazil,5,534,21,14,869792
255389,Leandro Paredes,Argentina,5,529,21,14,255389
974505,Enzo Fernández,Argentina,5,523,21,14,974505
859999,Lisandro Martínez,Argentina,5,517,21,14,859999
566102,Davinson Sánchez,Colombia,5,497,21,14,566102
547410,Martin Ødegaard,Norway,5,484,21,14,547410
1013699,Marwan Attia,Egypt,5,483,21,14,1013699
902029,Vitinha,Portugal,5,474,21,14,902029
155995,Marquinhos,Brazil,5,461,21,14,155995
1087359,Renato Veiga,Portugal,5,453,21,14,1087359
829932,Cristian Romero,Argentina,5,451,21,14,829932
826545,Mohamed Hany,Egypt,5,445,21,14,826545
989768,Nuno Mendes,Portugal,5,435,21,14,989768
1184541,Alexander Freeman,USA,5,428,21,14,1184541
825719,Issa Diop,Morocco,5,424,21,14,825719
576384,Kristoffer Ajer,Norway,5,421,21,14,576384
886223,Stephen Eustaquio,Canada,5,414,21,14,886223
1174889,Gustavo Puerta,Colombia,5,414,21,14,1174889
333441,Yasser Ibrahim,Egypt,5,411,21,14,333441
331737,Youri Tielemans,Belgium,5,405,21,14,331737
250737,Adrien Rabiot,France,5,403,21,14,250737
124992,Danilo,Brazil,5,402,21,14,124992
827679,Ezri Konsa,England,5,402,21,14,827679
355796,Jefferson Lerma,Colombia,5,390,21,14,355796
243583,Douglas Santos,Brazil,5,382,21,14,243583
933264,Torbjørn Heggem,Norway,5,381,21,14,933264
984419,Alistair Johnston,Canada,5,380,21,14,984419
818481,Jhon Lucumí,Colombia,5,374,21,14,818481
1564180,Ayyoub Bouaddi,Morocco,5,369,21,14,1564180
249399,Rodrigo De Paul,Argentina,5,361,21,14,249399
295339,Rami Rabia,Egypt,5,361,21,14,295339
844096,Jhon Arias,Colombia,5,354,21,14,844096
122951,Casemiro,Brazil,5,350,21,14,122951
1190933,João Neves,Portugal,5,344,21,14,1190933
881931,Weston McKennie,USA,5,339,21,14,881931
