event_id,start_timestamp,start_time_utc,start_time_istanbul,status,status_description,tournament_id,season_id,round_number,round_name,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score,home_score_normal_time,away_score_normal_time,home_score_overtime,away_score_overtime,home_score_penalties,away_score_penalties,venue_name,venue_city,attendance,referee_name,has_player_statistics,has_xg
15186710,1781204400,2026-06-11T19:00:00+00:00,2026-06-11T22:00:00+03:00,finished,Ended,16,58210,1,,4781,Mexico,4736,South Africa,2.0,0.0,2.0,0.0,,,,,Estadio Azteca,Mexico City,80824.0,Wilton Pereira Sampaio,True,True
15186720,1781229600,2026-06-12T02:00:00+00:00,2026-06-12T05:00:00+03:00,finished,Ended,16,58210,1,,4735,South Korea,4714,Czechia,2.0,1.0,2.0,1.0,,,,,Estadio Akron,Guadalajara,44985.0,Amin Mohamed Omar,True,True
15186836,1781290800,2026-06-12T19:00:00+00:00,2026-06-12T22:00:00+03:00,finished,Ended,16,58210,1,,4752,Canada,4479,Bosnia & Herzegovina,1.0,1.0,1.0,1.0,,,,,BMO Field,Toronto,43002.0,Facundo Raul Tello Figueroa,True,True
15186873,1781312400,2026-06-13T01:00:00+00:00,2026-06-13T04:00:00+03:00,finished,Ended,16,58210,1,,4724,USA,4789,Paraguay,4.0,1.0,4.0,1.0,,,,,SoFi Stadium,Inglewood,70492.0,Danny Makkelie,True,True
15186526,1781377200,2026-06-13T19:00:00+00:00,2026-06-13T22:00:00+03:00,finished,Ended,16,58210,1,,4792,Qatar,4699,Switzerland,1.0,1.0,1.0,1.0,,,,,Levi's Stadium,Santa Clara,67966.0,Said Martinez,True,True
15186850,1781388000,2026-06-13T22:00:00+00:00,2026-06-14T01:00:00+03:00,finished,Ended,16,58210,1,,4748,Brazil,4778,Morocco,1.0,1.0,1.0,1.0,,,,,MetLife Stadium,East Rutherford,80663.0,Slavko Vinčić,True,True
15186853,1781398800,2026-06-14T01:00:00+00:00,2026-06-14T04:00:00+03:00,finished,Ended,16,58210,1,,7229,Haiti,4695,Scotland,0.0,1.0,0.0,1.0,,,,,Gillette Stadium,Foxborough,64146.0,Mustapha Ghorbal,True,True
15186874,1781409600,2026-06-14T04:00:00+00:00,2026-06-14T07:00:00+03:00,finished,Ended,16,58210,1,,4741,Australia,4700,Türkiye,2.0,0.0,2.0,0.0,,,,,BC Place,Vancouver,52497.0,Jesús Valenzuela,True,True
15186899,1781456400,2026-06-14T17:00:00+00:00,2026-06-14T20:00:00+03:00,finished,Ended,16,58210,1,,4711,Germany,55827,Curaçao,7.0,1.0,7.0,1.0,,,,,NRG Stadium,Houston,68021.0,Jalal Jayed,True,True
15186945,1781467200,2026-06-14T20:00:00+00:00,2026-06-14T23:00:00+03:00,finished,Ended,16,58210,1,,4705,Netherlands,4770,Japan,2.0,2.0,2.0,2.0,,,,,AT&T Stadium,Arlington,69285.0,Ismail Elfath,True,True
15186904,1781478000,2026-06-14T23:00:00+00:00,2026-06-15T02:00:00+03:00,finished,Ended,16,58210,1,,4768,Côte d'Ivoire,4757,Ecuador,1.0,0.0,1.0,0.0,,,,,Lincoln Financial Field,Philadelphia,68274.0,François Letexier,True,True
