player_id,player_name,position,national_team_name,matches_with_position_data,total_position_points,mean_points_per_match,median_points_per_match,weighted_mean_x,weighted_mean_y,unweighted_mean_x,unweighted_mean_y,median_x,median_y,weighted_x_std,weighted_y_std,spatial_spread,defensive_third_match_share,middle_third_match_share,attacking_third_match_share,right_wide_match_share,right_half_space_match_share,central_lane_match_share,left_half_space_match_share,left_wide_match_share,wide_lane_match_share,half_space_match_share,dominant_longitudinal_zone,dominant_lateral_lane,position_consistency_score,spatial_reliability
149734,Aymeric Laporte,D,Spain,7,704,100.57,102.0,41.4175,67.9858,40.9196,68.212,39.3591,68.7256,7.8834,1.6242,8.049,0.1349,0.8651,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,deeper_half,left_half_space,0.1105,1.0
1402913,Pau Cubarsí,D,Spain,7,704,100.57,108.0,39.9463,33.9226,38.7967,33.5723,37.9897,33.581,6.4954,3.1787,7.2315,0.0767,0.9233,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deeper_half,right_half_space,0.1215,1.0
814594,Achraf Hakimi,D,Morocco,6,672,112.0,110.0,53.3195,17.3283,52.739,17.2086,51.7811,17.8442,5.5424,2.8294,6.2229,0.0,1.0,0.0,0.8199,0.1801,0.0,0.0,0.0,0.8199,0.1801,central_advanced,right_wide,0.1384,1.0
798583,Dayot Upamecano,D,France,7,618,88.29,84.0,39.023,33.0909,38.9779,33.199,39.8308,33.2871,4.5861,2.7106,5.3272,0.1262,0.8738,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deeper_half,right_half_space,0.158,1.0
383560,Manuel Akanji,D,Switzerland,6,616,102.67,99.0,35.9227,63.2984,35.9141,63.2475,35.4171,62.8559,6.9215,3.0128,7.5488,0.5081,0.4919,0.0,0.0,0.0,0.1964,0.8036,0.0,0.0,0.8036,deeper_half,left_half_space,0.117,1.0
282229,Nico Elvedi,D,Switzerland,6,583,97.17,88.0,36.1269,34.2036,35.9059,33.918,33.7851,33.2502,7.2978,3.4447,8.0699,0.506,0.494,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deeper_half,right_half_space,0.1103,1.0
859999,Lisandro Martínez,D,Argentina,6,568,94.67,91.0,41.4053,67.2218,40.8164,67.2464,41.8439,67.2172,5.0163,1.4088,5.2103,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,deeper_half,left_half_space,0.161,1.0
877994,Marc Guéhi,D,England,6,568,94.67,92.5,41.2526,65.4674,39.26,65.5501,41.3035,66.4027,6.2601,2.5119,6.7452,0.2201,0.7799,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,deeper_half,left_half_space,0.1291,1.0
248331,Brandon Mechele,D,Belgium,6,548,91.33,81.0,38.3911,52.4263,37.2037,55.0946,38.5056,61.1594,5.0917,12.6395,13.6266,0.1971,0.8029,0.0,0.0,0.1515,0.292,0.5566,0.0,0.0,0.708,deeper_half,central_lane,0.0684,1.0
827679,Ezri Konsa,D,England,7,546,78.0,89.0,41.9971,31.9139,43.642,28.3388,41.7045,33.682,8.3054,7.8785,11.4477,0.0952,0.9048,0.0,0.1667,0.8333,0.0,0.0,0.0,0.1667,0.8333,deeper_half,right_half_space,0.0803,1.0
