stage_order,stage_code,stage_label,formation,selected_player_count,average_rating,total_rating,total_goals,total_assists,total_xg,total_xa
1,GROUP_MD1,Grup 1. Maçları,3-4-3,11,8.991,98.9,13.0,4.0,3.437,2.55
1,GROUP_MD1,Grup 1. Maçları,3-5-2,11,8.991,98.9,12.0,2.0,3.227,2.952
1,GROUP_MD1,Grup 1. Maçları,4-4-2,11,8.955,98.5,12.0,2.0,3.192,2.645
1,GROUP_MD1,Grup 1. Maçları,4-3-3,11,8.945,98.4,11.0,4.0,3.443,2.563
1,GROUP_MD1,Grup 1. Maçları,4-2-3-1,11,8.918,98.1,10.0,2.0,2.833,3.007
1,GROUP_MD1,Grup 1. Maçları,4-5-1,11,8.918,98.1,10.0,2.0,2.833,3.007
1,GROUP_MD1,Grup 1. Maçları,5-3-2,11,8.9,97.9,10.0,2.0,3.124,2.531
2,GROUP_MD2,Grup 2. Maçları,3-4-3,11,9.055,99.6,9.0,8.0,4.043,4.319
2,GROUP_MD2,Grup 2. Maçları,4-3-3,11,9.055,99.6,8.0,7.0,3.54,5.337
2,GROUP_MD2,Grup 2. Maçları,4-4-2,11,8.982,98.8,7.0,7.0,3.296,5.18
2,GROUP_MD2,Grup 2. Maçları,3-5-2,11,8.973,98.7,8.0,8.0,3.384,4.077
2,GROUP_MD2,Grup 2. Maçları,5-3-2,11,8.964,98.6,6.0,6.0,2.762,4.922
2,GROUP_MD2,Grup 2. Maçları,4-2-3-1,11,8.891,97.8,6.0,7.0,2.275,4.886
2,GROUP_MD2,Grup 2. Maçları,4-5-1,11,8.891,97.8,6.0,7.0,2.275,4.886
3,GROUP_MD3,Grup 3. Maçları,3-5-2,11,9.036,99.4,14.0,3.0,5.792,2.263
3,GROUP_MD3,Grup 3. Maçları,3-4-3,11,9.0,99.0,14.0,3.0,5.895,1.822
3,GROUP_MD3,Grup 3. Maçları,4-2-3-1,11,8.973,98.7,13.0,3.0,5.713,2.164
3,GROUP_MD3,Grup 3. Maçları,4-5-1,11,8.973,98.7,13.0,3.0,5.713,2.164
3,GROUP_MD3,Grup 3. Maçları,4-4-2,11,8.945,98.4,13.0,4.0,5.317,1.813
3,GROUP_MD3,Grup 3. Maçları,4-3-3,11,8.909,98.0,12.0,4.0,5.179,1.841
3,GROUP_MD3,Grup 3. Maçları,5-3-2,11,8.845,97.3,12.0,5.0,5.905,2.095
4,R32,Son 32,3-4-3,11,9.018,99.2,9.0,5.0,4.746,3.643
4,R32,Son 32,4-3-3,11,8.982,98.8,9.0,5.0,4.814,3.531
4,R32,Son 32,3-5-2,11,8.909,98.0,8.0,6.0,4.584,4.07
4,R32,Son 32,4-4-2,11,8.882,97.7,8.0,5.0,4.63,3.509
4,R32,Son 32,5-3-2,11,8.845,97.3,8.0,5.0,4.581,3.285
4,R32,Son 32,4-2-3-1,11,8.773,96.5,7.0,6.0,3.375,3.47
4,R32,Son 32,4-5-1,11,8.773,96.5,7.0,6.0,3.375,3.47
5,R16,Son 16,3-4-3,11,8.518,93.7,10.0,2.0,3.975,1.51
5,R16,Son 16,3-5-2,11,8.473,93.2,9.0,1.0,3.115,2.052
5,R16,Son 16,4-3-3,11,8.473,93.2,10.0,2.0,3.93,1.499
5,R16,Son 16,4-4-2,11,8.427,92.7,8.0,1.0,2.862,1.548
5,R16,Son 16,5-3-2,11,8.382,92.2,8.0,1.0,2.817,1.484
5,R16,Son 16,4-2-3-1,11,8.327,91.6,7.0,1.0,2.647,2.032
5,R16,Son 16,4-5-1,11,8.327,91.6,7.0,1.0,2.647,2.032
6,QF,Çeyrek Final,3-4-3,11,8.009,88.1,5.0,2.0,2.929,2.086
6,QF,Çeyrek Final,3-5-2,11,7.991,87.9,5.0,1.0,2.243,2.095
6,QF,Çeyrek Final,4-3-3,11,7.973,87.7,5.0,2.0,3.245,1.804
6,QF,Çeyrek Final,4-4-2,11,7.964,87.6,4.0,1.0,2.035,2.066
6,QF,Çeyrek Final,5-3-2,11,7.918,87.1,4.0,1.0,1.937,2.03
6,QF,Çeyrek Final,4-2-3-1,11,7.909,87.0,4.0,1.0,2.662,2.094
6,QF,Çeyrek Final,4-5-1,11,7.909,87.0,4.0,1.0,2.662,2.094
