stage_order,stage_code,stage_label,formation,formation_slot,position,position_order,event_id,player_id,player_name,national_team_name,opponent_team_name,minutes_played,rating,goals,assists,xg,xa
1,GROUP_MD1,Grup 1. Maçları,3-4-3,G1,G,1,15186783,307436,Vozinha,Cabo Verde,Spain,90.0,9.7,0.0,0.0,0.0,0.0011323
1,GROUP_MD1,Grup 1. Maçları,3-4-3,D1,D,2,15186832,786133,Ramin Rezaeian,Iran,New Zealand,90.0,9.2,1.0,1.0,0.348,0.330897
1,GROUP_MD1,Grup 1. Maçları,3-4-3,D2,D,2,15186783,784677,Diney Borges,Cabo Verde,Spain,90.0,8.5,0.0,0.0,0.1276,0.00287336
1,GROUP_MD1,Grup 1. Maçları,3-4-3,D3,D,2,15186899,940871,Nico Schlotterbeck,Germany,Curaçao,90.0,8.4,1.0,0.0,0.3094,0.0378613
1,GROUP_MD1,Grup 1. Maçları,3-4-3,M1,M,3,15186832,905267,Elijah Just,New Zealand,Iran,90.0,9.0,2.0,0.0,0.3071,0.111325
1,GROUP_MD1,Grup 1. Maçları,3-4-3,M2,M,3,15186783,992587,Pedri,Spain,Cabo Verde,90.0,9.0,0.0,0.0,0.0986,1.23302
1,GROUP_MD1,Grup 1. Maçları,3-4-3,M3,M,3,15186720,889689,Hwang In-beom,South Korea,Czechia,84.0,8.8,1.0,1.0,0.3594,0.495255
1,GROUP_MD1,Grup 1. Maçları,3-4-3,M4,M,3,15186951,1036269,Yasin Ayari,Sweden,Tunisia,90.0,8.7,2.0,0.0,0.0684,0.117568
1,GROUP_MD1,Grup 1. Maçları,3-4-3,F1,F,4,15186854,12994,Lionel Messi,Argentina,Algeria,80.0,10.0,3.0,0.0,1.03,0.11
1,GROUP_MD1,Grup 1. Maçları,3-4-3,F2,F,4,15186873,934237,Folarin Balogun,USA,Paraguay,72.0,9.0,2.0,0.0,0.4688,0.0751069
1,GROUP_MD1,Grup 1. Maçları,3-4-3,F3,F,4,15186951,823941,Alexander Isak,Sweden,Tunisia,89.0,8.6,1.0,2.0,0.3197,0.035124
1,GROUP_MD1,Grup 1. Maçları,3-5-2,G1,G,1,15186783,307436,Vozinha,Cabo Verde,Spain,90.0,9.7,0.0,0.0,0.0,0.0011323
1,GROUP_MD1,Grup 1. Maçları,3-5-2,D1,D,2,15186832,786133,Ramin Rezaeian,Iran,New Zealand,90.0,9.2,1.0,1.0,0.348,0.330897
1,GROUP_MD1,Grup 1. Maçları,3-5-2,D2,D,2,15186783,784677,Diney Borges,Cabo Verde,Spain,90.0,8.5,0.0,0.0,0.1276,0.00287336
1,GROUP_MD1,Grup 1. Maçları,3-5-2,D3,D,2,15186899,940871,Nico Schlotterbeck,Germany,Curaçao,90.0,8.4,1.0,0.0,0.3094,0.0378613
1,GROUP_MD1,Grup 1. Maçları,3-5-2,M1,M,3,15186832,905267,Elijah Just,New Zealand,Iran,90.0,9.0,2.0,0.0,0.3071,0.111325
1,GROUP_MD1,Grup 1. Maçları,3-5-2,M2,M,3,15186783,992587,Pedri,Spain,Cabo Verde,90.0,9.0,0.0,0.0,0.0986,1.23302
1,GROUP_MD1,Grup 1. Maçları,3-5-2,M3,M,3,15186720,889689,Hwang In-beom,South Korea,Czechia,84.0,8.8,1.0,1.0,0.3594,0.495255
1,GROUP_MD1,Grup 1. Maçları,3-5-2,M4,M,3,15186951,1036269,Yasin Ayari,Sweden,Tunisia,90.0,8.7,2.0,0.0,0.0684,0.117568
1,GROUP_MD1,Grup 1. Maçları,3-5-2,M5,M,3,15186783,827606,Rodri,Spain,Cabo Verde,87.0,8.6,0.0,0.0,0.1098,0.436568
1,GROUP_MD1,Grup 1. Maçları,3-5-2,F1,F,4,15186854,12994,Lionel Messi,Argentina,Algeria,80.0,10.0,3.0,0.0,1.03,0.11
1,GROUP_MD1,Grup 1. Maçları,3-5-2,F2,F,4,15186873,934237,Folarin Balogun,USA,Paraguay,72.0,9.0,2.0,0.0,0.4688,0.0751069
1,GROUP_MD1,Grup 1. Maçları,4-2-3-1,G1,G,1,15186783,307436,Vozinha,Cabo Verde,Spain,90.0,9.7,0.0,0.0,0.0,0.0011323
1,GROUP_MD1,Grup 1. Maçları,4-2-3-1,D1,D,2,15186832,786133,Ramin Rezaeian,Iran,New Zealand,90.0,9.2,1.0,1.0,0.348,0.330897
1,GROUP_MD1,Grup 1. Maçları,4-2-3-1,D2,D,2,15186783,784677,Diney Borges,Cabo Verde,Spain,90.0,8.5,0.0,0.0,0.1276,0.00287336
1,GROUP_MD1,Grup 1. Maçları,4-2-3-1,D3,D,2,15186899,940871,Nico Schlotterbeck,Germany,Curaçao,90.0,8.4,1.0,0.0,0.3094,0.0378613
1,GROUP_MD1,Grup 1. Maçları,4-2-3-1,D4,D,2,15186783,149734,Aymeric Laporte,Spain,Cabo Verde,90.0,8.2,0.0,0.0,0.0748,0.130301
1,GROUP_MD1,Grup 1. Maçları,4-2-3-1,M1,M,3,15186832,905267,Elijah Just,New Zealand,Iran,90.0,9.0,2.0,0.0,0.3071,0.111325
1,GROUP_MD1,Grup 1. Maçları,4-2-3-1,M2,M,3,15186783,992587,Pedri,Spain,Cabo Verde,90.0,9.0,0.0,0.0,0.0986,1.23302
1,GROUP_MD1,Grup 1. Maçları,4-2-3-1,M3,M,3,15186720,889689,Hwang In-beom,South Korea,Czechia,84.0,8.8,1.0,1.0,0.3594,0.495255
1,GROUP_MD1,Grup 1. Maçları,4-2-3-1,M4,M,3,15186951,1036269,Yasin Ayari,Sweden,Tunisia,90.0,8.7,2.0,0.0,0.0684,0.117568
1,GROUP_MD1,Grup 1. Maçları,4-2-3-1,M5,M,3,15186783,827606,Rodri,Spain,Cabo Verde,87.0,8.6,0.0,0.0,0.1098,0.436568
1,GROUP_MD1,Grup 1. Maçları,4-2-3-1,F1,F,4,15186854,12994,Lionel Messi,Argentina,Algeria,80.0,10.0,3.0,0.0,1.03,0.11
1,GROUP_MD1,Grup 1. Maçları,4-3-3,G1,G,1,15186783,307436,Vozinha,Cabo Verde,Spain,90.0,9.7,0.0,0.0,0.0,0.0011323
1,GROUP_MD1,Grup 1. Maçları,4-3-3,D1,D,2,15186832,786133,Ramin Rezaeian,Iran,New Zealand,90.0,9.2,1.0,1.0,0.348,0.330897
