stage_order,stage_code,stage_label,round_number,round_name,analysis_position,position_rank,event_id,player_id,player_name,national_team_name,opponent_team_name,home_team_name,away_team_name,home_score,away_score,appearance_type,is_starter,stat_minutesPlayed,stat_rating,stat_goals,stat_goalAssist,stat_expectedGoals,stat_expectedAssists
1,GROUP_MD1,Grup 1. Maçları,1,,D,1,15186832,786133,Ramin Rezaeian,Iran,New Zealand,Iran,New Zealand,2.0,2.0,starter,True,90.0,9.2,1.0,1.0,0.348,0.330897
1,GROUP_MD1,Grup 1. Maçları,1,,D,2,15186783,784677,Diney Borges,Cabo Verde,Spain,Spain,Cabo Verde,0.0,0.0,starter,True,90.0,8.5,0.0,0.0,0.1276,0.00287336
1,GROUP_MD1,Grup 1. Maçları,1,,D,3,15186899,940871,Nico Schlotterbeck,Germany,Curaçao,Germany,Curaçao,7.0,1.0,starter,True,90.0,8.4,1.0,0.0,0.3094,0.0378613
1,GROUP_MD1,Grup 1. Maçları,1,,D,4,15186783,149734,Aymeric Laporte,Spain,Cabo Verde,Spain,Cabo Verde,0.0,0.0,starter,True,90.0,8.2,0.0,0.0,0.0748,0.130301
1,GROUP_MD1,Grup 1. Maçları,1,,D,5,15186836,831488,Nikola Katić,Bosnia & Herzegovina,Canada,Canada,Bosnia & Herzegovina,1.0,1.0,starter,True,90.0,8.1,0.0,0.0,0.0,0.00292007
1,GROUP_MD1,Grup 1. Maçları,1,,D,6,15186836,829207,Richie Laryea,Canada,Bosnia & Herzegovina,Canada,Bosnia & Herzegovina,1.0,1.0,starter,True,90.0,8.1,0.0,0.0,0.2568,0.426758
1,GROUP_MD1,Grup 1. Maçları,1,,D,7,15186899,259117,Joshua Kimmich,Germany,Curaçao,Germany,Curaçao,7.0,1.0,starter,True,83.0,8.1,0.0,2.0,0.0,0.827438
1,GROUP_MD1,Grup 1. Maçları,1,,D,8,15186899,1159759,Nathaniel Brown,Germany,Curaçao,Germany,Curaçao,7.0,1.0,starter,True,73.0,8.0,1.0,1.0,0.424,0.573266
1,GROUP_MD1,Grup 1. Maçları,1,,D,9,15186945,151545,Virgil van Dijk,Netherlands,Japan,Netherlands,Japan,2.0,2.0,starter,True,90.0,7.9,1.0,0.0,0.0598,0.0326882
1,GROUP_MD1,Grup 1. Maçları,1,,D,10,15186501,798583,Dayot Upamecano,France,Senegal,France,Senegal,3.0,1.0,starter,True,90.0,7.9,0.0,0.0,0.0,0.0115859
1,GROUP_MD1,Grup 1. Maçları,1,,F,1,15186854,12994,Lionel Messi,Argentina,Algeria,Argentina,Algeria,3.0,0.0,starter,True,80.0,10.0,3.0,0.0,1.03,0.11
1,GROUP_MD1,Grup 1. Maçları,1,,F,2,15186873,934237,Folarin Balogun,USA,Paraguay,USA,Paraguay,4.0,1.0,starter,True,72.0,9.0,2.0,0.0,0.4688,0.0751069
1,GROUP_MD1,Grup 1. Maçları,1,,F,3,15186951,823941,Alexander Isak,Sweden,Tunisia,Sweden,Tunisia,5.0,1.0,starter,True,89.0,8.6,1.0,2.0,0.3197,0.035124
1,GROUP_MD1,Grup 1. Maçları,1,,F,4,15186899,836705,Kai Havertz,Germany,Curaçao,Germany,Curaçao,7.0,1.0,starter,True,90.0,8.5,2.0,0.0,1.012,0.263623
1,GROUP_MD1,Grup 1. Maçları,1,,F,5,15186722,883537,Luis Díaz,Colombia,Uzbekistan,Uzbekistan,Colombia,1.0,3.0,starter,True,89.0,8.5,1.0,1.0,0.3605,0.621639
1,GROUP_MD1,Grup 1. Maçları,1,,F,6,15186945,917005,Crysencio Summerville,Netherlands,Japan,Netherlands,Japan,2.0,2.0,starter,True,70.0,8.5,1.0,0.0,0.0191,0.248761
1,GROUP_MD1,Grup 1. Maçları,1,,F,7,15186904,971037,Amad Diallo,Côte d'Ivoire,Ecuador,Côte d'Ivoire,Ecuador,1.0,0.0,used_substitute,False,34.0,8.5,1.0,0.0,0.1935,0.151568
1,GROUP_MD1,Grup 1. Maçları,1,,F,8,15186899,794298,Deniz Undav,Germany,Curaçao,Germany,Curaçao,7.0,1.0,used_substitute,False,26.0,8.5,1.0,2.0,0.5024,0.343981
1,GROUP_MD1,Grup 1. Maçları,1,,F,9,15186504,108579,Harry Kane,England,Croatia,England,Croatia,4.0,2.0,starter,True,90.0,8.3,2.0,0.0,1.0252,0.0369161
1,GROUP_MD1,Grup 1. Maçları,1,,F,10,15186720,917087,Kang-in Lee,South Korea,Czechia,South Korea,Czechia,2.0,1.0,starter,True,90.0,8.2,0.0,1.0,0.0161,0.209193
1,GROUP_MD1,Grup 1. Maçları,1,,G,1,15186783,307436,Vozinha,Cabo Verde,Spain,Spain,Cabo Verde,0.0,0.0,starter,True,90.0,9.7,0.0,0.0,0.0,0.0011323
1,GROUP_MD1,Grup 1. Maçları,1,,G,2,15186874,1177240,Patrick Beach,Australia,Türkiye,Australia,Türkiye,2.0,0.0,starter,True,90.0,9.1,0.0,0.0,0.0,0.00025206
1,GROUP_MD1,Grup 1. Maçları,1,,G,3,15186687,1457083,Benjamin Asare,Ghana,Panama,Ghana,Panama,1.0,0.0,used_substitute,False,45.0,8.2,0.0,0.0,0.0,0.00586609
1,GROUP_MD1,Grup 1. Maçları,1,,G,4,15186945,905351,Zion Suzuki,Japan,Netherlands,Netherlands,Japan,2.0,2.0,starter,True,90.0,7.8,0.0,0.0,0.0,8.67e-05
1,GROUP_MD1,Grup 1. Maçları,1,,G,5,15186504,190419,Dominik Livaković,Croatia,England,England,Croatia,4.0,2.0,starter,True,90.0,7.6,0.0,0.0,0.0,0.00183385
1,GROUP_MD1,Grup 1. Maçları,1,,G,6,15186811,791416,Mohammed Al-Owais,Saudi Arabia,Uruguay,Saudi Arabia,Uruguay,1.0,1.0,starter,True,90.0,7.6,0.0,0.0,0.0,0.00034946
1,GROUP_MD1,Grup 1. Maçları,1,,G,7,15186837,1048378,Mostafa Shobeir,Egypt,Belgium,Belgium,Egypt,1.0,1.0,starter,True,90.0,7.5,0.0,0.0,0.0,0.00052133
1,GROUP_MD1,Grup 1. Maçları,1,,G,8,15186687,791092,Lawrence Ati Zigi,Ghana,Panama,Ghana,Panama,1.0,0.0,starter,True,45.0,7.5,0.0,0.0,0.0,0.00027529
1,GROUP_MD1,Grup 1. Maçları,1,,G,9,15186720,235686,Kim Seung-gyu,South Korea,Czechia,South Korea,Czechia,2.0,1.0,starter,True,90.0,7.3,0.0,0.0,0.0,0.00089044
1,GROUP_MD1,Grup 1. Maçları,1,,G,10,15186710,990408,Raúl Rangel,Mexico,South Africa,Mexico,South Africa,2.0,0.0,starter,True,90.0,7.3,0.0,0.0,0.0,0.00404796
1,GROUP_MD1,Grup 1. Maçları,1,,M,1,15186832,905267,Elijah Just,New Zealand,Iran,Iran,New Zealand,2.0,2.0,starter,True,90.0,9.0,2.0,0.0,0.3071,0.111325
1,GROUP_MD1,Grup 1. Maçları,1,,M,2,15186783,992587,Pedri,Spain,Cabo Verde,Spain,Cabo Verde,0.0,0.0,starter,True,90.0,9.0,0.0,0.0,0.0986,1.23302
1,GROUP_MD1,Grup 1. Maçları,1,,M,3,15186720,889689,Hwang In-beom,South Korea,Czechia,South Korea,Czechia,2.0,1.0,starter,True,84.0,8.8,1.0,1.0,0.3594,0.495255
1,GROUP_MD1,Grup 1. Maçları,1,,M,4,15186951,1036269,Yasin Ayari,Sweden,Tunisia,Sweden,Tunisia,5.0,1.0,starter,True,90.0,8.7,2.0,0.0,0.0684,0.117568
