event_id,start_time_utc,start_time_istanbul,round_number,round_name,match_status,home_team_name,away_team_name,home_score,away_score,side,national_team_id,national_team_name,opponent_team_id,opponent_team_name,club_team_id_snapshot,formation,lineup_confirmed,player_id,player_name,player_short_name,player_slug,player_sofascore_id,player_primary_position,lineup_position,shirt_number,jersey_number,is_starter,is_substitute,appearance_type,captain,height_cm,country_alpha3,country_name,date_of_birth_timestamp,date_of_birth_utc,market_value,market_value_currency,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_keeperSaveValue,stat_ratingVersions_original,stat_ratingVersions_alternative,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_statisticsType_sportSlug,stat_statisticsType_statisticsType,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_expectedGoals,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_keyPass,stat_shotValueNormalized,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,stat_aerialLost,stat_duelLost,stat_wasFouled,stat_fouls,stat_totalTackle,stat_unsuccessfulTouch,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_dispossessed,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_wonTackle,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock,stat_errorLeadToAShot,stat_errorLeadToAGoal,stat_bigChanceMissed,stat_lastManTackle,stat_clearanceOffLine,stat_ownGoals,stat_penaltyConceded,stat_penaltyFaced,stat_penaltyWon,stat_crossNotClaimed,stat_penaltyMiss,stat_penaltySave,stat_penaltyShootoutSave,stat_penaltyShootoutGoal,stat_penaltyShootoutMiss
15186710,2026-06-11T19:00:00+00:00,2026-06-11T22:00:00+03:00,1,,finished,Mexico,South Africa,2.0,0.0,away,4736,South Africa,4781,Mexico,7665,5-3-2,True,539792,Ronwen Williams,R. Williams,ronwen-williams,shtig3,G,G,1,1,True,False,starter,True,184.0,ZAF,South Africa,695952000,1992-01-21T00:00:00+00:00,825000.0,EUR,40.0,28.0,19.0,8.0,0.0,23.0,24.0,5.0,16.0,11.0,2.0,90.0,55.0,6.3,12.0,0.00129646,35.427424409469,8.0,5.6003263275242,0.0,0.1731,6.3,7.1,0.0,-0.7215,0.04,0.0,-0.12,-0.53,football,player,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
15186710,2026-06-11T19:00:00+00:00,2026-06-11T22:00:00+03:00,1,,finished,Mexico,South Africa,2.0,0.0,away,4736,South Africa,4781,Mexico,7665,5-3-2,True,881117,Teboho Mokoena,T. Mokoena,teboho-mokoena,kw4e3j,M,M,4,4,True,False,starter,False,176.0,ZAF,South Africa,854064000,1997-01-24T00:00:00+00:00,3100000.0,EUR,42.0,39.0,2.0,1.0,0.0,23.0,23.0,16.0,19.0,4.0,,90.0,55.0,6.5,8.0,0.0110385,224.78931938784,27.0,86.991777721279,1.0,,6.5,6.5,0.0,,0.17,0.12,-0.28,,football,player,2.0,,2.0,4.0,,1.0,2.0,,31.28,9.33,3.0,1.0,,1.28,0.24,0.06,,3.0,2.0,1.0,,3.0,18.815986357525,29.193624303947,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
15186710,2026-06-11T19:00:00+00:00,2026-06-11T22:00:00+03:00,1,,finished,Mexico,South Africa,2.0,0.0,away,4736,South Africa,4781,Mexico,7665,5-3-2,True,837099,Aubrey Modiba,A. Modiba,aubrey-modiba,vrxnzs,D,D,6,6,True,False,starter,False,167.0,ZAF,South Africa,806371200,1995-07-22T00:00:00+00:00,1900000.0,EUR,15.0,12.0,,,0.0,8.0,8.0,4.0,7.0,4.0,,77.0,30.0,5.9,9.0,0.00267398,45.24068878127,6.0,19.97110019658,0.0,,5.9,6.3,1.0,,-0.14,-0.16,-0.39,,football,player,2.0,,,5.0,,,,0.0161,28.11,7.46,3.0,,-0.01,1.07,0.21,0.04,1.0,6.0,2.0,2.0,3.0,2.0,,,,,,1.0,1.0,2.0,,1.0,,,0.0528,1.0,,,,,,,,,,,,,,,,,,,,,
15186710,2026-06-11T19:00:00+00:00,2026-06-11T22:00:00+03:00,1,,finished,Mexico,South Africa,2.0,0.0,away,4736,South Africa,4781,Mexico,6,5-3-2,True,901907,Lyle Foster,L. Foster,lyle-foster,uup6jn,F,F,9,9,True,False,starter,False,180.0,ZAF,South Africa,967939200,2000-09-03T00:00:00+00:00,8300000.0,EUR,5.0,1.0,1.0,,0.0,,1.0,1.0,4.0,,,56.0,11.0,5.9,5.0,0.0004274,23.541302260175,3.0,4.0104704999858,0.0,,5.9,6.4,1.0,,-0.34,-0.35,-0.05,,football,player,,,,1.0,1.0,,,0.0428,30.86,5.41,3.0,,-0.2,0.63,0.15,0.04,4.0,6.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15186710,2026-06-11T19:00:00+00:00,2026-06-11T22:00:00+03:00,1,,finished,Mexico,South Africa,2.0,0.0,away,4736,South Africa,4781,Mexico,38396,5-3-2,True,822684,Sphephelo Sithole,S. Sithole,sphephelo-sithole,h2fejc,M,M,13,13,True,False,starter,False,186.0,ZAF,South Africa,920419200,1999-03-03T00:00:00+00:00,640000.0,EUR,19.0,17.0,,,0.0,13.0,14.0,4.0,5.0,2.0,,49.0,24.0,4.9,4.0,0.00251981,29.955364057425,7.0,1.8592869014784,0.0,,4.9,4.9,0.0,,-0.04,0.04,-0.33,,football,player,,,1.0,1.0,,,1.0,,30.71,5.86,5.0,,,0.72,0.19,0.07,,7.0,,3.0,,,,,2.0,,,,2.0,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,
15186710,2026-06-11T19:00:00+00:00,2026-06-11T22:00:00+03:00,1,,finished,Mexico,South Africa,2.0,0.0,away,4736,South Africa,4781,Mexico,2505,5-3-2,True,2058228,Mbekezeli Mbokazi,M. Mbokazi,mbekezeli-mbokazi,gwvw95,D,D,14,14,True,False,starter,False,180.0,ZAF,South Africa,1127088000,2005-09-19T00:00:00+00:00,3800000.0,EUR,30.0,23.0,8.0,3.0,0.0,18.0,18.0,5.0,12.0,3.0,,90.0,53.0,6.4,14.0,0.0517245,94.069283210977,14.0,46.713427532306,0.0,,6.4,6.8,1.0,,0.13,0.07,-0.27,,football,player,2.0,1.0,,5.0,,4.0,1.0,0.0136,28.4,8.32,5.0,1.0,0.01,0.92,0.26,0.04,1.0,5.0,3.0,1.0,2.0,2.0,,,3.0,,,1.0,,,,1.0,,,0.0759,,,,,,,1.0,,,,,,,,,,,,,,,
15186710,2026-06-11T19:00:00+00:00,2026-06-11T22:00:00+03:00,1,,finished,Mexico,South Africa,2.0,0.0,away,4736,South Africa,4781,Mexico,7665,5-3-2,True,991024,Iqraam Rayners,I. Rayners,iqraam-rayners,snxbfy,F,F,15,15,True,False,starter,False,176.0,ZAF,South Africa,819331200,1995-12-19T00:00:00+00:00,2600000.0,EUR,10.0,9.0,,,0.0,4.0,4.0,5.0,6.0,1.0,,76.0,16.0,6.1,6.0,0.00302864,35.696171881711,5.0,23.6002791732,0.0,,6.1,6.4,0.0,,-0.11,0.02,0.15,,football,player,1.0,,,,,,,,33.54,7.55,12.0,,,0.89,0.28,0.21,4.0,6.0,,,,3.0,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
15186710,2026-06-11T19:00:00+00:00,2026-06-11T22:00:00+03:00,1,,finished,Mexico,South Africa,2.0,0.0,away,4736,South Africa,4781,Mexico,7668,5-3-2,True,902117,Nkosinathi Sibisi,N. Sibisi,nkosinathi-sibisi,zz2vwd,D,D,19,19,True,False,starter,False,172.0,ZAF,South Africa,811728000,1995-09-22T00:00:00+00:00,1700000.0,EUR,50.0,41.0,8.0,3.0,0.0,34.0,37.0,7.0,13.0,3.0,,90.0,57.0,6.0,12.0,0.00208963,98.541217885798,17.0,-16.168905068347,0.0,,6.0,6.2,0.0,,0.11,0.01,-0.35,,football,player,,,,,,1.0,1.0,,30.91,8.72,5.0,,,1.09,0.24,0.08,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15186710,2026-06-11T19:00:00+00:00,2026-06-11T22:00:00+03:00,1,,finished,Mexico,South Africa,2.0,0.0,away,4736,South Africa,4781,Mexico,7665,5-3-2,True,936047,Khuliso Mudau,K. Mudau,khuliso-mudau,iw85wk,D,D,20,20,True,False,starter,False,181.0,ZAF,South Africa,798854400,1995-04-26T00:00:00+00:00,1300000.0,EUR,29.0,25.0,2.0,,0.0,16.0,17.0,9.0,12.0,4.0,,90.0,45.0,6.5,6.0,0.00888132,115.88974953735,15.0,69.731755856382,2.0,,6.5,6.8,0.0,,-0.09,0.08,-0.29,,football,player,1.0,,,7.0,,2.0,1.0,,34.18,8.85,8.0,,,1.13,0.36,0.12,1.0,4.0,3.0,2.0,4.0,1.0,32.762624670354,48.60108272186,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15186710,2026-06-11T19:00:00+00:00,2026-06-11T22:00:00+03:00,1,,finished,Mexico,South Africa,2.0,0.0,away,4736,South Africa,4781,Mexico,2541,5-3-2,True,1507710,Ime Okon,I. Okon,okon-ime,p93sfz,D,D,21,21,True,False,starter,False,187.0,ZAF,South Africa,1077235200,2004-02-20T00:00:00+00:00,1900000.0,EUR,49.0,45.0,2.0,,0.0,42.0,45.0,3.0,4.0,4.0,,90.0,61.0,6.3,5.0,0.00085624,174.17454261077,27.0,-2.7655615604214,0.0,,6.3,6.4,0.0,,0.01,-0.04,-0.18,,football,player,,,1.0,3.0,,6.0,,,30.5,8.73,9.0,,,0.99,0.35,0.11,3.0,4.0,,,2.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
